,Brand,Model,Rank,Benchmark,Samples,Brand,Model,Rank,Benchmark,Samples,memSize,memBusWidth,gpuClock,memClock,tmu,rop,igp,bus,memType,gpuChip
47,Gigabyte,Gigabyte RTX 3070 Ti 8GB Gaming OC,12,168.0,120757,Nvidia,GTX 980M,120.0,40.9,11961.0,8.0,256.0,540.0,1253.0,96.0,64.0,No,MXM-B (3.0),GDDR5,GM204
48,EVGA,EVGA RTX 3070 Ti 8GB FTW3 Ultra Gaming,12,168.0,120757,AMD,RX 470,121.0,40.7,74730.0,4.0,256.0,926.0,1650.0,128.0,32.0,No,PCIe 3.0 x16,GDDR5,Ellesmere
49,Zotac,Zotac RTX 3070 Ti 8GB Trinity OC,12,168.0,120757,Nvidia,Quadro P2000,122.0,40.5,12915.0,5.0,160.0,1076.0,1752.0,64.0,40.0,No,PCIe 3.0 x16,GDDR5,GP106
50,MSI,MSI RTX 3070 Ti 8GB Ventus 3X OC,12,168.0,120757,AMD,FirePro W9000,128.0,36.6,75.0,6.0,384.0,975.0,1375.0,128.0,32.0,No,PCIe 3.0 x16,GDDR5,Tahiti
51,Gigabyte,Gigabyte RTX 3070 Ti 8GB Vision OC,12,168.0,120757,Nvidia,GTX 770,129.0,36.4,120275.0,2.0,256.0,1046.0,1753.0,128.0,32.0,No,PCIe 3.0 x16,GDDR5,GK104
52,MSI,MSI RTX 3070 Ti 8GB Suprim X,12,168.0,120757,AMD,Radeon Pro 5300M,133.0,35.9,957.0,4.0,128.0,1000.0,1500.0,80.0,32.0,No,PCIe 4.0 x8,GDDR6,Navi 14
53,Nvidia,Inno3D RTX 3070 Ti 8GB 3X OC,12,168.0,120757,AMD,RX 6400,134.0,34.7,252.0,4.0,64.0,1923.0,2000.0,48.0,32.0,No,PCIe 4.0 x4,GDDR6,Navi 24
54,Nvidia,Titan V,13,163.0,856,Nvidia,GTX 680,136.0,33.9,33141.0,2.0,256.0,1006.0,1502.0,128.0,32.0,No,PCIe 3.0 x16,GDDR5,GK104
55,Nvidia,RTX 3070,14,154.0,447840,Nvidia,GTX 960,137.0,33.6,418450.0,2.0,128.0,1127.0,1753.0,64.0,32.0,No,PCIe 3.0 x16,GDDR5,GM206
56,Gigabyte,Gigabyte RTX 3070 8GB Gaming OC,14,154.0,447840,Intel,Arc A380,139.0,32.2,30.0,4.0,64.0,300.0,1500.0,64.0,32.0,No,PCIe 4.0 x8,GDDR6,DG2-128
57,MSI,MSI RTX 3070 8GB Ventus 2X OC,14,154.0,447840,Nvidia,Quadro K5200,141.0,32.0,1611.0,8.0,256.0,667.0,1502.0,192.0,48.0,No,PCIe 3.0 x16,GDDR5,GK110B
58,Gigabyte,Gigabyte RTX 3070 8GB Aorus,14,154.0,447840,Nvidia,GTX 970M,142.0,31.8,25299.0,6.0,192.0,924.0,1253.0,80.0,48.0,No,MXM-B (3.0),GDDR5,GM204
59,MSI,MSI RTX 3070 8GB Ventus 3X OC,14,154.0,447840,Nvidia,GTX 970M,142.0,31.8,25299.0,3.0,192.0,924.0,1253.0,80.0,48.0,No,MXM-B (3.0),GDDR5,GM204
60,Gigabyte,Gigabyte RTX 3070 8GB Vision OC,14,154.0,447840,Nvidia,Quadro M4000,143.0,31.6,8869.0,8.0,256.0,773.0,1502.0,104.0,64.0,No,PCIe 3.0 x16,GDDR5,GM204
61,EVGA,EVGA RTX 3070 8GB FTW3 Ultra Gaming,14,154.0,447840,Nvidia,GTX 1050 Ti,144.0,30.9,1036829.0,4.0,128.0,1291.0,1752.0,48.0,32.0,No,PCIe 3.0 x16,GDDR5,GP107
62,Zotac,Zotac RTX 3070 8GB Twin Edge OC,14,154.0,447840,Nvidia,GTX 670,147.0,29.2,51475.0,2.0,256.0,915.0,1502.0,112.0,32.0,No,PCIe 3.0 x16,GDDR5,GK104
63,AMD,RX 6800-XT,15,147.0,7715,Nvidia,GTX 880M,148.0,28.3,2248.0,8.0,256.0,954.0,1250.0,128.0,32.0,No,MXM-B (3.0),GDDR5,GK104
64,Nvidia,RTX 3080 Ti (Laptop),16,143.0,859,Nvidia,GTX 760,149.0,27.8,158023.0,2.0,256.0,980.0,1502.0,96.0,32.0,No,PCIe 3.0 x16,GDDR5,GK104
65,Nvidia,Titan Xp,17,142.0,7923,Nvidia,GTX 660 Ti,150.0,27.7,42078.0,2.0,192.0,915.0,1502.0,112.0,24.0,No,PCIe 3.0 x16,GDDR5,GK104
