Brand,Model,Rank,Benchmark,Samples
AMD,Gigabyte RX Vega 64 8GB LC,41,101,3866
AMD,Sapphire RX Vega 64 8GB LC,41,101,3866
AMD,XFX RX Vega 64 8GB LC,41,101,3866
AMD,RX 6700,42,99.2,284
Nvidia,RTX 2060S (Super),43,99.2,295076
Gigabyte,Gigabyte RTX 2060 Super 8GB Gaming,43,99.2,295076
EVGA,EVGA RTX 2060 Super 8GB SC XC Ultra Gaming,43,99.2,295076
MSI,MSI RTX 2060 Super 8GB Gaming X,43,99.2,295076
Gigabyte,Gigabyte RTX 2060 Super 8GB Windforce OC,43,99.2,295076
Gigabyte,Gigabyte RTX 2060 Super 8GB Aorus,43,99.2,295076
EVGA,EVGA RTX 2060 8GB Super SC Black,43,99.2,295076
EVGA,EVGA RTX 2060 Super 8GB SC Ultra Gaming,43,99.2,295076
Zotac,Zotac RTX 2060 Super 8GB Mini Gaming,43,99.2,295076
Nvidia,RTX 3060,44,98.3,232735
Gigabyte,Gigabyte RTX 3060 12GB Eagle OC,44,98.3,232735
Zotac,Zotac RTX 3060 12GB Twin Edge OC,44,98.3,232735
Gigabyte,Gigabyte RTX 3060 12GB Gaming OC,44,98.3,232735
EVGA,EVGA RTX 3060 12GB XC Gaming,44,98.3,232735
Asus,Asus RTX 3060 12GB Tuf OC,44,98.3,232735
Nvidia,GTX 1080 (Mobile),45,98,14090
Nvidia,GTX 1070 Ti,46,96.3,361611
Asus,Asus GTX 1070 Ti 8GB STRIX,46,96.3,361611
MSI,MSI GTX 1070 Ti 8GB Gaming,46,96.3,361611
EVGA,EVGA GTX 1070 Ti 8GB SC GAMING,46,96.3,361611
Gigabyte,Gigabyte GTX 1070 Ti 8GB Gaming OC,46,96.3,361611
MSI,MSI GTX 1070 Ti 8GB Aero,46,96.3,361611
Asus,Asus GTX 1070 Ti 8GB ROG Strix Gaming,46,96.3,361611
EVGA,EVGA GTX 1070 Ti 8GB FTW2 GAMING,46,96.3,361611
Gigabyte,Gigabyte GTX 1070 Ti 8GB Gaming,46,96.3,361611
EVGA,EVGA GTX 1070 Ti 8GB FTW ULTRA SILENT GAMING,46,96.3,361611
MSI,MSI GTX 1070 Ti 8GB TITANIUM,46,96.3,361611
AMD,RX 5700-XT,47,94.7,87717
AMD,PowerColor RX 5700 XT 8GB,47,94.7,87717
AMD,Sapphire RX 5700 XT 8GB,47,94.7,87717
AMD,XFX RX 5700 XT 8GB,47,94.7,87717
AMD,MSI RX 5700 XT 8GB Gaming,47,94.7,87717
AMD,Asus RX 5700 XT 8GB,47,94.7,87717
AMD,Gigabyte RX 5700 XT 8GB,47,94.7,87717
Sapphire,Sapphire RX 5700 XT 8GB Pulse,47,94.7,87717
PowerColor,PowerColor RX 5700 XT 8GB Red Devil,47,94.7,87717
PowerColor,PowerColor RX 5700 XT 8GB Red Dragon,47,94.7,87717
Sapphire,Sapphire RX 5700 XT 8GB Nitro+,47,94.7,87717
Sapphire,Sapphire RX 5700 XT 8GB Pulse,47,94.7,87717
Gigabyte,Gigabyte RX 5700 XT 8GB Gaming OC,47,94.7,87717
XFX,XFX RX 5700 XT 8GB Thicc III Ultra,47,94.7,87717
XFX,XFX RX 5700 XT 8GB Thicc III,47,94.7,87717
Asus,Asus RX 5700 XT 8GB TUF Gaming 3,47,94.7,87717
Asus,Asus RX 5700 XT 8GB ROG Strix ,47,94.7,87717
Nvidia,Quadro RTX 4000,48,94.7,8852
AMD,RX Vega-64,49,94.6,86469
AMD,Gigabyte RX Vega 64 8GB,49,94.6,86469
AMD,XFX RX Vega 64 8GB,49,94.6,86469
AMD,Sapphire RX Vega 64 8GB,49,94.6,86469
Asus,Asus RX Vega 64 8GB ROG Strix Gaming,49,94.6,86469
Gigabyte,Gigabyte RX Vega 64 8GB Gaming OC,49,94.6,86469
MSI,MSI RX Vega 64 8GB Gaming Air Boost,49,94.6,86469
Nvidia,RTX 2070S (Super Mobile),50,94.4,6765
Nvidia,RTX 2080S (Super Mobile Max-Q),51,94.2,3834
AMD,RX 6600-XT,52,93.7,8025
ASRock,ASRock RX 6600 XT 8GB Challenger D OC,52,93.7,8025
Asus,Asus RX 6600 XT 8GB Dual,52,93.7,8025
XFX,XFX RX 6600 XT 8GB Speedster SWFT 210,52,93.7,8025
Gigabyte,Gigabyte RX 6600 XT 8GB Gaming OC Pro,52,93.7,8025
MSI,MSI RX 6600 XT 8GB Gaming X,52,93.7,8025
MSI,MSI RX 6600 XT 8GB Mech 2X OC,52,93.7,8025
PowerColor,PowerColor RX 6600 XT 8GB Fighter,52,93.7,8025
Sapphire,Sapphire RX 6600 XT 8GB Pulse,52,93.7,8025
Nvidia,Quadro P5000,53,92.2,7677
AMD,Vega Frontier Edition,54,91.6,1887
AMD,Radeon Vega Frontier Edition Air,54,91.6,1887
Nvidia,RTX 2070 (Mobile),55,89.9,22308
Nvidia,RTX 2080 (Mobile Max-Q),56,89.5,7485
Nvidia,RTX 2060,57,88.6,653453
MSI,MSI RTX 2060 6GB Ventus,57,88.6,653453
Zotac,Zotac RTX 2060 6GB Twin,57,88.6,653453
Gigabyte,Gigabyte RTX 2060 6GB Gaming OC,57,88.6,653453
EVGA,EVGA RTX 2060 6GB XC Ultra Gaming,57,88.6,653453
Gigabyte,Gigabyte RTX 2060 6GB Windforce OC,57,88.6,653453
MSI,MSI RTX 2060 6GB Gaming Z,57,88.6,653453
Asus,Asus RTX 2060 6GB ROG STRIX,57,88.6,653453
Gigabyte,Gigabyte RTX 2060 6GB Gaming OC Pro ,57,88.6,653453
EVGA,EVGA RTX 2060 6GB Gaming,57,88.6,653453
EVGA,EVGA RTX 2060 KO 6GB Ultra Gaming,57,88.6,653453
EVGA,EVGA RTX 2060 KO 6GB Gaming,57,88.6,653453
MSI,MSI RTX 2060 6GB Ventus XS,57,88.6,653453
Nvidia,RTX 3060 (Laptop),58,88.6,62203
AMD,RX 5700,59,85,27019
AMD,PowerColor RX 5700 8GB,59,85,27019
AMD,Sapphire RX 5700 8GB,59,85,27019
AMD,XFX RX 5700 8GB,59,85,27019
AMD,MSI RX 5700 8GB,59,85,27019
Sapphire,Sapphire RX 5700 8GB Pulse,59,85,27019
MSI,MSI RX 5700 8GB Mech,59,85,27019
Sapphire,Sapphire RX 5700 8GB Pulse,59,85,27019
PowerColor,PowerColor RX 5700 8GB Red Devil,59,85,27019
XFX,XFX RX 5700 8GB DD Ultra,59,85,27019
Gigabyte,Gigabyte RX 5700 8GB Gaming OC,59,85,27019
MSI,MSI RX 5700 8GB Evoke OC,59,85,27019
Nvidia,RTX 2070S (Super Mobile Max-Q),60,83.8,3516
AMD,RX Vega-56,61,82.2,100910
AMD,Sapphire RX Vega 56 8GB,61,82.2,100910
AMD,XFX RX Vega 56 8GB,61,82.2,100910
AMD,Gigabyte RX Vega 56 8GB,61,82.2,100910
MSI,MSI RX Vega 56 8GB Gaming Air Boost,61,82.2,100910
Gigabyte,Gigabyte RX Vega 56 8GB OC,61,82.2,100910
Sapphire,Sapphire RX Vega 56 8GB Pulse,61,82.2,100910
ASRock,ASRock RX Vega 56 8GB Phantom Gaming X,61,82.2,100910
AMD,RX 5600-XT,62,80.7,25892
Sapphire,Sapphire RX 5600 XT 6GB Pulse,62,80.7,25892
PowerColor,PowerColor RX 5600 XT 6GB Red Devil,62,80.7,25892
XFX,XFX RX 5600 XT 6GB Thicc II PRO,62,80.7,25892
XFX,XFX RX 5600 XT 6GB Thicc II PRO,62,80.7,25892
Gigabyte,Gigabyte RX 5600 XT 6GB Gaming OC,62,80.7,25892
