Brand,Model,Rank,Benchmark,Samples,memSize,memBusWidth,gpuClock,memClock,tmu,rop,igp,bus,memType,gpuChip
Nvidia,GT 440,414,3.95,13989,1.024,128,810,900,16,4,No,PCIe 2.0 x16,DDR3,GF108
Nvidia,9600 GT,415,3.94,20282,0.512,256,650,900,32,16,No,PCIe 2.0 x16,GDDR3,G94
Nvidia,Quadro FX 4600,416,3.94,1235,0.768,384,500,700,24,24,No,PCIe 1.0 x16,GDDR3,G80
Nvidia,820M,417,3.89,8870,2,128,810,901,32,16,No,PCIe 3.0 x16,DDR3,GK107
Nvidia,820M,417,3.89,8870,1.024,64,625,900,16,8,No,PCIe 2.0 x16,DDR3,GF117
Nvidia,GT 720,418,3.82,16117,2,64,967,900,32,8,No,PCIe 2.0 x8,DDR3,GK208
Nvidia,GT 720,418,3.82,16117,1.024,64,797,800,16,8,No,PCIe 2.0 x8,DDR3,GK208B
Nvidia,GT 630,419,3.78,59096,1.024,128,810,900,16,4,No,PCIe 2.0 x16,DDR3,GF108
Nvidia,NVS 5400M,420,3.75,1599,2,128,660,900,16,4,No,MXM,GDDR3,GF108
Nvidia,9800M GTS,422,3.71,351,1.024,256,600,800,32,16,No,PCIe 2.0 x16,GDDR3,G94
Nvidia,9800M GTS,422,3.71,351,0.512,256,600,800,32,16,No,PCIe 2.0 x16,GDDR3,G94
ATI,Mobility Radeon HD 4670,424,3.67,2155,0.512,128,675,800,32,8,No,MXM-A (3.0),GDDR3,M96
Nvidia,GT 720M,426,3.66,4571,2,64,719,800,16,8,No,PCIe 2.0 x8,DDR3,GK208
Nvidia,GT 720M,426,3.66,4571,2,64,775,800,16,8,No,PCIe 2.0 x16,DDR3,GF117
Nvidia,GT 550M,427,3.58,929,1.024,128,740,900,16,4,No,PCIe 2.0 x16,DDR3,GF108
Nvidia,710M,428,3.55,2228,1.024,64,719,900,16,8,No,PCIe 3.0 x8,DDR3,GK208
Nvidia,710M,428,3.55,2228,1.024,64,775,900,16,8,No,PCIe 2.0 x16,DDR3,GF117
AMD,Radeon HD 7650M,431,3.53,532,1.024,128,450,800,24,16,No,PCIe 2.0 x16,DDR3,Thames
Nvidia,Quadro K600,434,3.5,8792,1.024,128,876,891,16,16,No,PCIe 2.0 x16,DDR3,GK107
Nvidia,Quadro K1000M,436,3.48,3965,2,128,850,900,16,16,No,MXM-A (3.0),DDR3,GK107
Nvidia,GT 635M,437,3.47,3034,2,128,675,900,24,16,No,PCIe 2.0 x16,DDR3,GF116
Nvidia,GT 635M,437,3.47,3034,2,128,650,900,24,16,No,PCIe 2.0 x16,DDR3,GF116
Nvidia,GT 635M,437,3.47,3034,1.024,64,660,900,16,4,No,MXM-A (3.0),DDR3,GF108
Nvidia,GT 635M,437,3.47,3034,1.024,128,660,900,16,4,No,PCIe 2.0 x16,DDR3,GF108
Nvidia,GTS 250M,439,3.44,294,1.024,128,500,800,32,8,No,PCIe 2.0 x16,GDDR5,GT215
Nvidia,Quadro FX 1800,440,3.42,6328,0.768,192,550,800,32,12,No,PCIe 2.0 x16,GDDR3,G94
Nvidia,GT 430,442,3.38,19825,0.512,64,700,800,16,4,No,PCIe 2.0 x16,DDR3,GF108
Nvidia,GT 630M,443,3.36,7356,2,128,800,900,16,4,No,MXM-A (3.0),GDDR5,GF117
Nvidia,GT 630M,443,3.36,7356,1.024,64,660,900,16,4,No,MXM-A (3.0),DDR3,GF108
Nvidia,GT 630M,443,3.36,7356,1.024,64,660,900,16,4,No,MXM-A (3.0),DDR3,GF108
Nvidia,GT 710,444,3.36,170781,1.024,64,810,898,8,4,No,PCIe 2.0 x16,DDR3,GF119
Nvidia,GT 710,444,3.36,170781,2,64,954,900,16,8,No,PCIe 2.0 x8,DDR3,GK208B
Nvidia,GT 710,444,3.36,170781,2,64,954,900,16,8,No,PCIe 2.0 x8,DDR3,GK208
Nvidia,Quadro 1000M,446,3.33,6035,2,128,700,900,16,4,No,MXM-A (3.0),DDR3,GF108
Nvidia,NVS 5200M,449,3.27,1727,1.024,64,625,900,16,4,No,MXM,DDR3,GF117
Nvidia,NVS 5200M,449,3.27,1727,1.024,64,672,785,16,4,No,MXM,GDDR5,GF108
ATI,Radeon HD 4670,450,3.2,19856,0.512,128,750,1000,32,8,No,PCIe 2.0 x16,GDDR3,RV730
Nvidia,NVS 510,451,3.19,2295,2,128,797,891,16,16,No,PCIe 2.0 x16,DDR3,GK107
Nvidia,GT 435M,452,3.18,614,1.024,128,590,800,16,16,No,PCIe 2.0 x16,DDR3,GF106
Nvidia,GT 435M,452,3.18,614,2,128,650,800,16,4,No,PCIe 2.0 x16,DDR3,GF108
Nvidia,Quadro 600,454,3.16,15796,1.024,128,640,800,16,8,No,PCIe 2.0 x16,DDR3,GF108
Nvidia,GT 540M,456,3.13,14391,1.024,128,672,900,16,4,No,MXM-A (3.0),DDR3,GF108
Nvidia,Quadro FX 3600M,459,3.1,116,0.512,256,500,800,48,16,No,MXM-HE,GDDR3,G92
Nvidia,Quadro FX 3600M,459,3.1,116,0.512,256,500,799,32,16,No,MXM-HE,GDDR3,G92
AMD,Radeon HD 7610M,463,3.04,309,1.024,128,450,800,20,8,No,PCIe 2.0 x16,GDDR3,Whistler
ATI,Radeon HD 4650,465,2.89,1673,0.256,128,600,700,32,8,No,PCIe 2.0 x16,GDDR3,RV730
ATI,Mobility Radeon HD 4650,469,2.8,4472,0.512,128,500,600,32,8,No,PCIe 2.0 x16,DDR2,M96
Nvidia,Quadro FX 1800M,471,2.78,1190,1.024,128,561,550,24,8,No,MXM-A (3.0),GDDR5,GT215
Nvidia,GT 335M,474,2.72,924,1.024,128,450,800,24,8,No,PCIe 2.0 x16,GDDR3,GT215
Nvidia,GT 425M,476,2.7,2997,1.024,128,560,800,16,4,No,PCIe 2.0 x16,DDR3,GF108
Nvidia,Quadro FX 2700M,478,2.62,798,0.512,256,530,799,24,16,No,MXM-HE,GDDR3,G94
Nvidia,GT 525M,481,2.56,8884,1.024,128,600,900,16,4,No,PCIe 2.0 x16,DDR3,GF108
Nvidia,GT 420M,483,2.45,1915,0.512,128,500,800,16,4,No,PCIe 2.0 x16,DDR3,GF108
Nvidia,GT 220,489,2.29,18689,1.024,128,600,700,24,8,No,PCIe 2.0 x16,GDDR3,G94
Nvidia,GT 220,489,2.29,18689,0.512,128,615,1000,16,8,No,PCIe 2.0 x16,DDR2,GT216
Nvidia,GT 620,491,2.21,16566,1.024,64,700,900,16,4,No,PCIe 2.0 x16,DDR3,GF108
Nvidia,GT 330M,492,2.16,7624,1.024,128,575,800,16,8,No,MXM-A (3.0),GDDR3,GT216
Nvidia,NVS 5100M,494,2.13,1887,1.024,128,550,800,16,8,No,MXM-A (3.0),GDDR3,GT216
Nvidia,GT 240M,495,2.13,2412,1.024,128,550,800,16,8,No,PCIe 2.0 x16,GDDR3,GT216
Nvidia,Quadro FX 880M,496,2.11,4649,1.024,128,550,790,16,8,No,MXM-A (3.0),GDDR3,GT216
Nvidia,GT 520MX,498,2.07,1569,1.024,64,900,900,8,4,No,PCIe 2.0 x16,DDR3,GF119
Nvidia,9700M GT,500,2.05,300,0.512,128,625,800,16,8,No,MXM-II,GDDR3,G96
AMD,Radeon HD 7470M,503,1.98,451,1.024,64,750,900,8,4,No,PCIe 2.0 x16,DDR3,Seymour
Nvidia,GT 130M,505,1.95,682,1.024,128,600,800,16,8,No,PCIe 2.0 x16,GDDR3,G96C
Nvidia,8600 GTS,508,1.91,2643,0.256,128,675,1000,16,8,No,PCIe 1.0 x16,GDDR3,G84
AMD,Radeon HD 6470M,511,1.87,4454,0.512,64,700,800,8,4,No,PCIe 2.0 x16,DDR3,Seymour
Nvidia,GT 230M,512,1.86,2887,1.024,128,500,800,16,8,No,PCIe 2.0 x16,GDDR3,GT216
Nvidia,610M,514,1.86,4709,1.024,64,738,900,8,4,No,PCIe 2.0 x16,DDR3,GF119
Nvidia,610M,514,1.86,4709,1.024,64,672,800,8,2,No,PCIe 2.0 x16,DDR3,GF108
Nvidia,610M,514,1.86,4709,1.024,64,625,900,8,8,No,PCIe 2.0 x16,DDR3,GF117
Nvidia,GT 520,515,1.86,14402,1.024,64,810,900,8,4,No,PCIe 2.0 x16,DDR3,GF119
Nvidia,Quadro 400,516,1.84,1010,0.512,64,450,770,16,8,No,PCIe 2.0 x16,DDR3,GT216
Nvidia,9500 GS,518,1.77,1398,0.512,128,550,504,16,8,No,PCIe 2.0 x16,DDR2,G96
Nvidia,GT 610,519,1.77,59248,1.024,64,810,898,8,4,No,PCIe 2.0 x16,DDR3,GF119
Nvidia,GT 520M,522,1.74,5728,1.024,64,740,800,8,4,No,PCIe 2.0 x16,DDR3,GF119
Nvidia,GT 520M,522,1.74,5728,1.024,64,672,800,8,4,No,PCIe 2.0 x16,DDR3,GF108
Nvidia,NVS 4200M,523,1.74,6469,1.024,64,810,800,8,4,No,MXM,DDR3,GF119
Nvidia,Quadro FX 770M,524,1.74,844,0.512,128,500,800,16,8,No,MXM-II,GDDR3,G96
Nvidia,GT 220M,529,1.67,960,0.512,128,500,800,16,8,No,MXM-II,GDDR3,G96C
AMD,Radeon HD 6450,531,1.66,30909,0.512,64,625,800,8,4,No,PCIe 2.0 x16,GDDR5,Caicos
Nvidia,Quadro FX 1600M,533,1.65,423,0.512,128,625,800,16,8,No,MXM-HE,GDDR3,G84
Nvidia,9500 GT,535,1.59,27299,0.512,128,600,1000,16,8,No,PCIe 2.0 x16,GDDR3,G96
ATI,Mobility Radeon HD 3670,538,1.56,405,0.256,128,680,800,8,4,No,PCIe 2.0 x16,GDDR3,M86
Nvidia,7900 GTX,542,1.53,191,0.512,256,650,800,24,16,No,PCIe 1.0 x16,GDDR3,G71
Nvidia,Quadro NVS 320M,544,1.51,171,0.512,128,575,700,16,8,No,MXM-HE,GDDR3,G84
Nvidia,Quadro FX 580,547,1.45,5941,0.512,128,450,800,16,8,No,PCIe 2.0 x16,GDDR3,G96C
Nvidia,8600 GT,551,1.4,7840,0.512,128,540,700,16,8,No,PCIe 1.0 x16,GDDR3,G84
Nvidia,410M,552,1.4,4591,0.512,64,574,800,8,4,No,PCIe 2.0 x16,DDR3,GF119
ATI,Mobility FireGL V5700,553,1.36,178,0.512,128,600,700,8,4,No,PCIe 2.0 x16,GDDR3,M86
Nvidia,Quadro FX 570M,555,1.33,445,0.512,128,475,700,16,8,No,PCIe 1.0 x16,GDDR3,G84
Nvidia,GT 415M,556,1.27,85,0.512,128,500,800,8,4,No,PCIe 2.0 x16,DDR3,GF108
Nvidia,NVS 310,557,1.26,4759,0.512,64,523,875,8,4,No,PCIe 2.0 x16,DDR3,GF119
ATI,Mobility Radeon HD 545v,560,1.23,656,0.512,64,720,800,8,4,No,MXM-A (3.0),GDDR3,M92
ATI,Mobility Radeon HD 3650,561,1.17,3287,0.512,128,500,700,8,4,No,MXM-II,GDDR3,M86
Nvidia,8600M GT,562,1.17,2101,0.512,128,475,400,16,8,No,MXM-II,DDR2,G84
Nvidia,8600M GT,562,1.17,2101,0.512,128,475,700,16,8,No,MXM-II,GDDR3,G84
Nvidia,Quadro FX 1700,563,1.15,2644,0.512,256,460,400,16,8,No,PCIe 1.0 x16,DDR2,G84
ATI,Mobility Radeon HD 4570,565,1.14,393,0.512,64,680,800,8,4,No,MXM-II,GDDR3,M92
ATI,Mobility Radeon HD 2600,567,1.12,958,0.256,128,500,400,8,4,No,MXM-II,DDR2,M76
AMD,Radeon HD 6370M,568,1.1,748,1.024,64,750,800,8,4,No,PCIe 2.0 x16,GDDR3,Robson
Nvidia,7800 GTX,570,1.06,207,0.256,256,430,600,24,16,No,PCIe 1.0 x16,GDDR3,G70
Nvidia,Quadro FX 4500,572,1.01,309,0.512,256,430,525,24,16,No,PCIe 1.0 x16,GDDR3,G70
Nvidia,7900 GS,573,0.99,588,0.256,256,450,660,20,16,No,PCIe 1.0 x16,GDDR3,G71
ATI,Radeon HD 4550,574,0.99,3265,0.256,64,600,655,8,4,No,PCIe 2.0 x16,DDR2,RV710
Nvidia,GT 320M,575,0.95,1807,1.024,128,500,790,8,8,No,PCIe 2.0 x16,DDR3,GT216
Nvidia,GT 320M,575,0.95,1807,0.512,128,500,800,16,8,No,MXM-II,GDDR3,G96C
Nvidia,Quadro FX 3500,576,0.95,594,0.256,256,450,660,20,16,No,PCIe 1.0 x16,GDDR3,G71
Nvidia,7800 GT,577,0.94,231,0.256,256,400,500,20,16,No,PCIe 1.0 x16,GDDR3,G70
ATI,Mobility Radeon HD 5470,578,0.93,16176,0.512,64,750,800,8,4,No,PCIe 2.0 x16,GDDR5,Park
Nvidia,310M,579,0.91,8427,1.024,64,606,667,8,4,No,PCIe 2.0 x16,DDR3,GT218
Nvidia,310M,579,0.91,8427,0.512,64,625,790,8,4,No,PCIe 2.0 x16,DDR3,GT218
Nvidia,310M,579,0.91,8427,0.512,64,625,800,8,4,No,PCIe 2.0 x16,GDDR3,GT218
Nvidia,9400 GT,582,0.9,12738,0.512,128,550,400,8,4,No,PCIe 2.0 x16,DDR2,G96C
Nvidia,9400 GT,582,0.9,12738,0.128,64,459,600,8,4,No,PCIe 2.0 x16,DDR2,G86
Nvidia,G210M,584,0.89,1372,0.512,64,625,800,8,4,No,PCIe 2.0 x16,GDDR3,GT218
Nvidia,315M,586,0.88,3260,0.512,64,606,800,8,4,No,PCIe 2.0 x16,GDDR3,GT218
AMD,FirePro 2270,587,0.86,472,0.512,64,600,600,8,4,No,PCIe 2.0 x16,GDDR3,Cedar
Nvidia,Quadro FX 380,588,0.86,1159,0.256,128,450,700,8,8,No,PCIe 2.0 x16,GDDR3,G96
ATI,Mobility Radeon HD 4350,589,0.86,1840,0.512,64,450,600,8,4,No,PCIe 2.0 x16,GDDR3,M92
AMD,Radeon HD 6350,590,0.85,2833,0.512,64,650,400,8,4,No,PCIe 2.0 x16,GDDR3,Cedar
Nvidia,NVS 3100M,591,0.84,8765,0.512,64,606,790,8,4,No,PCIe 2.0 x16,GDDR3,GT218
ATI,Mobility Radeon HD 530v,592,0.84,249,0.512,64,500,600,8,4,No,MXM-A (3.0),GDDR3,M92
AMD,Radeon HD 5450,597,0.81,64090,0.512,64,650,400,8,4,No,PCIe 2.0 x16,DDR2,Cedar
Nvidia,305M,598,0.81,45,0.512,64,525,700,8,4,No,PCIe 2.0 x16,GDDR3,GT218
Nvidia,NVS 300,601,0.77,2470,0.512,64,520,790,8,4,No,PCIe 2.0 x16,DDR3,GT218
Nvidia,210,602,0.77,63076,0.512,64,520,400,8,4,No,PCIe 2.0 x16,DDR3,GT218
ATI,Radeon HD 4250,605,0.76,5677,0.512,64,594,396,4,4,No,PCIe 2.0 x16,DDR2,RV620
Nvidia,8400 GS,607,0.75,18976,0.256,64,459,400,8,4,No,PCIe 1.0 x16,DDR2,G86
Nvidia,8600M GS,609,0.73,898,0.512,128,450,400,8,4,No,MXM-II,DDR2,G86
Nvidia,7600 GT,612,0.7,1214,0.256,128,560,700,12,8,No,PCIe 1.0 x16,GDDR3,G73
Nvidia,Quadro NVS 295,613,0.69,1000,0.256,64,540,695,4,4,No,PCIe 1.0 x16,GDDR3,G98
Nvidia,8500 GT,619,0.66,4617,0.256,128,459,400,8,4,No,PCIe 1.0 x16,GDDR3,G86
ATI,Radeon HD 3450,622,0.64,4640,0.256,64,600,500,4,4,No,PCIe 2.0 x16,DDR2,RV620
Nvidia,Quadro FX 570,623,0.64,1367,0.256,128,460,400,8,8,No,PCIe 1.0 x16,DDR2,G84
Nvidia,8400M GT,624,0.64,371,0.512,128,450,600,8,4,No,PCIe 1.0 x16,GDDR3,G86
Nvidia,G105M,629,0.61,2388,0.512,64,535,790,8,4,No,PCIe 2.0 x16,DDR3,GT218
Nvidia,G105M,629,0.61,2388,0.512,64,640,700,4,4,No,PCIe 2.0 x16,GDDR3,G98
Nvidia,G105M,629,0.61,2388,0.256,64,500,700,8,4,No,PCIe 2.0 x16,GDDR3,GT218
Nvidia,Quadro FX 1500,633,0.57,499,0.256,256,325,625,16,16,No,PCIe 1.0 x16,GDDR3,G71
Nvidia,Quadro NVS 290,635,0.56,1546,0.256,64,459,400,8,4,No,PCIe 1.0 x16,DDR2,G86
Nvidia,Quadro NVS 140M,637,0.55,885,0.512,64,400,600,8,4,No,PCIe 2.0 x16,GDDR3,G86
Nvidia,9300M GS,638,0.54,2046,0.256,64,550,700,4,4,No,MXM-I,GDDR3,G98
Nvidia,Quadro NVS 160M,639,0.53,1471,0.256,64,580,700,4,4,No,MXM-I,GDDR3,G98
Nvidia,7600 GS,640,0.53,1213,0.256,128,400,400,12,8,No,PCIe 1.0 x16,DDR2,G73
AMD,Radeon HD 6290,641,0.52,2401,1.024,64,650,800,8,4,No,PCIe 2.0 x16,GDDR3,Cedar
Nvidia,8400M GS,643,0.49,2312,0.256,64,400,400,8,4,No,MXM-I,DDR2,G86
Nvidia,9200M GS,644,0.49,1060,0.256,64,550,700,4,4,No,PCIe 2.0 x16,GDDR3,G98
Nvidia,Quadro NVS 450,645,0.49,584,0.256,64,480,700,4,4,No,PCIe 1.0 x16,GDDR3,G98
AMD,Radeon HD 6250,646,0.49,1598,0.512,64,650,500,8,4,No,PCIe 2.0 x16,GDDR3,Cedar
Nvidia,9300 GS,647,0.48,442,0.512,64,567,333,4,4,No,PCIe 2.0 x16,DDR2,G98
AMD,Radeon X1650,649,0.48,727,0.256,64,635,392,4,4,No,PCIe 1.0 x16,DDR2,RV516
AMD,Radeon X1650,649,0.48,727,0.256,128,500,400,4,4,No,PCIe 1.0 x16,DDR2,RV530
ATI,Mobility Radeon HD 2400,653,0.43,633,0.256,64,450,400,4,4,No,PCIe 1.0 x16,DDR2,M72
AMD,Radeon X1600,655,0.4,1015,0.512,128,635,400,4,4,No,PCIe 1.0 x16,DDR2,RV516
Nvidia,Go 7600,657,0.37,396,0.256,128,450,350,8,8,No,PCIe 1.0 x16,GDDR3,G73
Nvidia,7300 GT,658,0.35,1545,0.128,128,350,325,8,8,No,PCIe 1.0 x16,DDR2,G73
ATI,Mobility Radeon X1600,659,0.33,428,0.256,128,450,470,4,4,No,PCIe 1.0 x16,GDDR3,M56
Nvidia,6600 GT,660,0.32,578,0.128,128,500,500,8,4,No,PCIe 1.0 x16,GDDR3,NV43
Nvidia,8400M G,662,0.3,305,0.256,64,400,400,8,4,No,PCIe 1.0 x16,GDDR3,G86
Nvidia,Quadro NVS 135M,663,0.3,600,0.256,64,400,594,8,4,No,PCIe 2.0 x16,GDDR3,G86
Nvidia,6600,665,0.22,965,0.256,128,300,250,8,4,No,PCIe 1.0 x16,DDR,NV43
Nvidia,7300 GS,666,0.18,932,0.256,64,450,266,4,2,No,PCIe 1.0 x16,DDR2,G72
AMD,Radeon X1300,667,0.18,1436,0.256,128,450,250,4,4,No,PCIe 1.0 x16,DDR,RV515
AMD,Radeon X1300,667,0.18,1436,0.128,128,450,250,4,4,No,PCIe 1.0 x16,DDR,RV516
Nvidia,Go 7400,668,0.17,410,0.128,32,450,450,4,2,No,PCIe 1.0 x16,GDDR3,G72
Nvidia,Go 7400,668,0.17,410,0.128,64,450,450,4,2,No,PCIe 1.0 x16,GDDR3,G72
AMD,Radeon X1550,669,0.16,754,0.256,128,600,400,4,4,No,PCIe 1.0 x16,DDR2,RV515
AMD,Radeon X1550,669,0.16,754,0.256,128,550,400,4,4,No,PCIe 1.0 x16,DDR2,RV516
AMD,Radeon X1550,669,0.16,754,0.128,64,500,333,4,4,No,PCIe 1.0 x16,DDR2,RV505
ATI,Mobility Radeon X2300,670,0.15,386,0.128,64,479,446,4,4,No,PCIe 1.0 x16,GDDR3,M64
ATI,Mobility Radeon X2300,670,0.15,386,0.064,64,479,392,4,4,No,PCIe 1.0 x16,DDR2,M64
Nvidia,7300 LE,671,0.15,1556,0.128,64,450,324,4,2,No,PCIe 1.0 x16,DDR2,G72
ATI,Mobility Radeon X1400,672,0.13,467,0.128,128,445,250,4,4,No,PCIe 1.0 x16,DDR2,M54
Nvidia,Go 7300,673,0.13,580,0.064,64,350,350,4,2,No,PCIe 1.0 x16,GDDR3,G72
ATI,Mobility Radeon X1300,674,0.13,358,0.128,128,350,250,4,4,No,PCIe 1.0 x16,DDR2,M52
Nvidia,Quadro NVS 440,675,0.11,105,0.128,128,250,250,8,8,No,PCIe 1.0 x16,GDDR3,NV43
Nvidia,7100 GS,676,0.07,814,0.128,64,350,266,4,2,No,PCIe 1.0 x16,DDR2,NV44B
Nvidia,7300 SE,677,0.07,2613,0.256,64,450,266,4,2,No,PCIe 1.0 x16,DDR2,G72
Nvidia,6200,679,0.06,1771,0.128,128,300,275,2,4,No,PCIe 1.0 x16,DDR,NV43
