Brand,Model,Rank,Benchmark,Samples,memSize,memBusWidth,gpuClock,memClock,tmu,rop,igp,bus,memType,gpuChip
Nvidia,GTX 680,136,33.9,33141,2,256,1006,1502,128,32,No,PCIe 3.0 x16,GDDR5,GK104
Nvidia,GTX 960,137,33.6,418450,2,128,1127,1753,64,32,No,PCIe 3.0 x16,GDDR5,GM206
Intel,Arc A380,139,32.2,30,4,64,300,1500,64,32,No,PCIe 4.0 x8,GDDR6,DG2-128
Nvidia,Quadro K5200,141,32,1611,8,256,667,1502,192,48,No,PCIe 3.0 x16,GDDR5,GK110B
Nvidia,GTX 970M,142,31.8,25299,6,192,924,1253,80,48,No,MXM-B (3.0),GDDR5,GM204
Nvidia,GTX 970M,142,31.8,25299,3,192,924,1253,80,48,No,MXM-B (3.0),GDDR5,GM204
Nvidia,Quadro M4000,143,31.6,8869,8,256,773,1502,104,64,No,PCIe 3.0 x16,GDDR5,GM204
Nvidia,GTX 1050 Ti,144,30.9,1036829,4,128,1291,1752,48,32,No,PCIe 3.0 x16,GDDR5,GP107
Nvidia,GTX 670,147,29.2,51475,2,256,915,1502,112,32,No,PCIe 3.0 x16,GDDR5,GK104
Nvidia,GTX 880M,148,28.3,2248,8,256,954,1250,128,32,No,MXM-B (3.0),GDDR5,GK104
Nvidia,GTX 760,149,27.8,158023,2,256,980,1502,96,32,No,PCIe 3.0 x16,GDDR5,GK104
Nvidia,GTX 660 Ti,150,27.7,42078,2,192,915,1502,112,24,No,PCIe 3.0 x16,GDDR5,GK104
Nvidia,GTX 760 Ti OEM,152,27.2,1814,2,256,915,1502,112,32,No,PCIe 3.0 x16,GDDR5,GK104
Nvidia,GTX 1050,153,27,254118,2,128,1354,1752,40,32,No,PCIe 3.0 x16,GDDR5,GP107
Nvidia,GTX 950,157,26,119522,2,128,1024,1653,48,32,No,PCIe 3.0 x16,GDDR5,GM206
Nvidia,GTX 780M,160,24.9,3942,4,256,771,1250,128,32,No,MXM-B (3.0),GDDR5,GK104
Nvidia,Quadro P1000,161,24.6,7154,4,128,1266,1253,40,32,No,PCIe 3.0 x16,GDDR5,GP107
Nvidia,Quadro P1000,161,24.6,7154,4,128,1354,1502,32,16,No,PCIe 3.0 x16,GDDR5,GP107
Nvidia,GTX 965M,164,23.8,3836,2,128,935,1253,64,32,No,MXM-B (3.0),GDDR5,GM206
Nvidia,GTX 965M,164,23.8,3836,4,128,935,1253,64,32,No,MXM-B (3.0),GDDR5,GM204
Nvidia,GTX 965M,164,23.8,3836,2,128,924,1253,64,32,No,MXM-B (3.0),GDDR5,GM204
Nvidia,GTX 965M,164,23.8,3836,2,128,540,1253,64,32,No,MXM-B (3.0),GDDR5,GM204
Nvidia,GTX 870M,165,23.6,3072,3,192,941,1250,112,24,No,MXM-B (3.0),GDDR5,GK104
AMD,FirePro W7000,166,22.9,72,4,256,950,1200,80,32,No,PCIe 3.0 x16,GDDR5,Pitcairn
AMD,RX 560,168,22.6,54540,4,128,1175,1750,64,16,No,PCIe 3.0 x8,GDDR5,Polaris 21
Nvidia,Quadro K5100M,170,22.3,625,8,256,771,900,128,32,No,MXM-B (3.0),GDDR5,GK104
Nvidia,Quadro K5000,171,22.1,3576,4,256,706,1350,128,32,No,PCIe 2.0 x16,GDDR5,GK104
Nvidia,Quadro K4200,172,21.9,7021,4,256,771,1350,112,32,No,PCIe 2.0 x16,GDDR5,GK104
Nvidia,Quadro M2000,174,21.6,5564,4,128,796,1653,48,32,No,PCIe 3.0 x16,GDDR5,GM206
Nvidia,GTX 580,175,21.5,15137,1.536,384,772,1002,64,48,No,PCIe 2.0 x16,GDDR5,GF110
Nvidia,GTX 660,176,21.1,123681,2,192,980,1502,80,24,No,PCIe 3.0 x16,GDDR5,GK106
AMD,Radeon HD 7970M,181,20.6,945,2,256,850,1200,80,32,No,MXM-B (3.0),GDDR5,Wimbledon
AMD,RX 460,184,20.1,63867,2,128,1090,1750,56,16,No,PCIe 3.0 x8,GDDR5,Baffin
Nvidia,GTX 680M,190,19.4,1304,4,256,719,900,112,32,No,MXM-B (3.0),GDDR5,GK104
Nvidia,MX350,192,19.2,2441,2,64,1354,1752,32,16,No,PCIe 3.0 x4,GDDR5,GP107
Nvidia,MX350,192,19.2,2441,2,64,747,1752,32,16,No,PCIe 3.0 x4,GDDR5,GP107
Nvidia,GTX 570,194,19.1,21326,1.28,320,732,950,60,40,No,PCIe 2.0 x16,GDDR5,GF110
Nvidia,GTX 480,196,18.7,3923,1.536,384,701,924,60,48,No,PCIe 2.0 x16,GDDR5,GF100
Nvidia,GTX 750 Ti,198,18.2,293396,2,128,1020,1350,40,16,No,PCIe 3.0 x16,GDDR5,GM107
