Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
GPU,RTX 2080 Ti GAMING X TRIO,MSI,MSI RTX 2080 Ti 11GB Gaming,11,172,370356,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,GV-N208TGAMING OC-11GC,Gigabyte,Gigabyte RTX 2080 Ti 11GB Gaming OC,11,172,370356,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,ROG-STRIX-RTX2080TI-O11G-GAMING,Asus,Asus RTX 2080 Ti 11GB ROG Strix,11,172,370356,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,11G-P4-2487-KR,EVGA,EVGA RTX 2080 Ti 11GB FTW3 Ultra Gaming,11,172,370356,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,11G-P4-2281-KR,EVGA,EVGA RTX 2080 Ti 11GB Black,11,172,370356,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,GV-N208TAORUS X-11GC,Gigabyte,Gigabyte RTX 2080 Ti 11GB Xtreme,11,172,370356,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,,Nvidia,RTX 3070-Ti,12,168,120757,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,TUF-RTX3070TI-O8G-GAMING,Asus,Asus RTX 3070 Ti 8GB Tuf OC,12,168,120757,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,GV-N307TGAMING OC-8GD,Gigabyte,Gigabyte RTX 3070 Ti 8GB Gaming OC,12,168,120757,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,‎08G-P5-3767-KL,EVGA,EVGA RTX 3070 Ti 8GB FTW3 Ultra Gaming,12,168,120757,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,ZT-A30710J-10P,Zotac,Zotac RTX 3070 Ti 8GB Trinity OC,12,168,120757,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,RTX 3070 Ti Ventus 3X 8G OC,MSI,MSI RTX 3070 Ti 8GB Ventus 3X OC,12,168,120757,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,GVN307TVISIONOC8GD,Gigabyte,Gigabyte RTX 3070 Ti 8GB Vision OC,12,168,120757,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,RTX 3070 Ti Suprim X 8G,MSI,MSI RTX 3070 Ti 8GB Suprim X,12,168,120757,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,N307T3-086XX-1820VA45,Nvidia,Inno3D RTX 3070 Ti 8GB 3X OC,12,168,120757,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,,Nvidia,Titan V,13,163,856,https://gpu.userbenchmark.com/SpeedTest/395529/NVIDIA-TITAN-V
GPU,,Nvidia,RTX 3070,14,154,447840,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
GPU,GV-N3070GAMING OC-8GD REV2.0,Gigabyte,Gigabyte RTX 3070 8GB Gaming OC,14,154,447840,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
GPU,RTX 3070 Ventus 2X 8G OC LHR,MSI,MSI RTX 3070 8GB Ventus 2X OC,14,154,447840,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
GPU,GV-N3070AORUS M-8GD REV2.0,Gigabyte,Gigabyte RTX 3070 8GB Aorus,14,154,447840,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
GPU,RTX 3070 Ventus 3X 8G OC LHR,MSI,MSI RTX 3070 8GB Ventus 3X OC,14,154,447840,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
GPU,GV-N3070VISION OC-8GD,Gigabyte,Gigabyte RTX 3070 8GB Vision OC,14,154,447840,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
GPU,08G-P5-3767-KL,EVGA,EVGA RTX 3070 8GB FTW3 Ultra Gaming,14,154,447840,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
GPU,ZT-A30700H-10PLHR,Zotac,Zotac RTX 3070 8GB Twin Edge OC,14,154,447840,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
GPU,,AMD,RX 6800-XT,15,147,7715,https://gpu.userbenchmark.com/AMD-RX-6800-XT/Rating/4089
GPU,,Nvidia,RTX 3080-Ti (Laptop),16,143,859,https://gpu.userbenchmark.com/SpeedTest/1775790/NVIDIA-GeForce-RTX-3080-Ti-Laptop-GPU
GPU,,Nvidia,Titan Xp,17,142,7923,https://gpu.userbenchmark.com/SpeedTest/265423/NVIDIA-TITAN-Xp
GPU,,Nvidia,RTX 2080S (Super),18,138,243635,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,GV-N208SGAMING OC-8GC,Gigabyte,Gigabyte RTX 2080 Super 8GB Gaming,18,138,243635,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
